Human Trafficking	Language Name	Language Code		
	Croatian	hr 		Trgovanje ljudima
	French	fr		traite des êtres humains
	Khmer	km 		ការ​ជួញដូរ​មនុស្ស
	Bulgarian	bg 		Трафик на хора
	Uzbek	uz 		Odam savdosi
	Bengali	bn 		মানব পাচার
	Hungarian	hu 		Embercsempészet
	Portuguese	pt 		Tráfico humano
	Chinese	zh 		人口贩运
	Icelandic	is 		Mansal
	English	en 		Human Trafficking
	Malagasy	mg 		Human fanondranana
	Slovak	sk 		Obchodovania s ľuďmi
	Hindi	hi 		मानव तस्करी
	Danish	da 		Menneskesmugling
	Alemannic	als 		Trafikimi njerëzor
	Catalan	ca 		Tràfic humà
	Tajik	tg 		Қочоқи инсон
	Cebuano	ceb 		Human Trafficking
	Kazakh	kk 		Адам саудасы
	Belarusian	be 		чалавек Гандаль
	Māori	mi 		Trafficking Human
	Gujarati	gu 		માનવોની હેરાફેરી
	Tamil	ta 		மனித கடத்தல்
	Macedonian	mk 		Трговија со луѓе
	Tagalog	tl 		Trafficking ng tao
	Japanese	ja 		人身売買
	Maltese	mt 		Traffikar tal-bniedem
	Estonian	et 		inimkaubandus
	Esperanto	eo 		homa trafiko
	Nepali	ne 		मानव तस्करी
	Yiddish	yi 		מענטשנרעכט טראַפפיקקינג
	Azerbaijani	az 		İnsan alveri
	Lao	lo 		ການ​ຄ້າ​ມະ​ນຸດ
	Slovene	sl 		Trgovina z ljudmi
	Georgian	ka 		ადამიანით ვაჭრობის
	Welsh	cy 		Masnachu mewn pobl
	Kirghiz	ky 		адам сатуу
	Marathi (Marāṭhī)	mr 		मानवी तस्करी
	Galician	gl 		Tráfico de seres humanos
	Afrikaans	af 		Mensehandel
	Lithuanian	lt 		Prekyba žmonėmis
	Amharic	am 		የሰዎች ዝውውር
	Malay	ms 		Penyeludupan manusia
	Xhosa	xh 		Ukuthwalwa kwabantu
	Polish	pl 		Handel ludźmi
	Finnish	fi 		Ihmiskauppa
	Ukrainian	uk 		Торгівля людьми
	Latvian	lv 		Cilvēku tirdzniecība
	Javanese	jv 		Trafficking Human
	Panjabi	pa 		ਮਨੁੱਖੀ ਤਸਕਰੀ
	Mongolian	mn 		Хүний наймаа
	Norwegian	no 		Menneskehandel
	Luxembourgish	lb 		Mënschenhandel
	Urdu	ur 		انسانی اسمگلنگ
	Swedish	sv 		Människohandel
	Haitian	ht 		trafik moun
	Corsican	co 		schjavitù Human
	Sundanese	su 		human trafficking
	Korean	ko 		인신 매매
	Norwegian Bokmål	nb 		Menneskehandel
	Latin	la 		Humanum Trafficking
	Hausa	ha 		Human fataucin
	Italian	it 		Tratta di esseri umani
	Kannada	kn 		ಮನುಷ್ಯರ ಸಾಗಾಣಿಕೆ
	Sinhala	si 		මිනිස් ඡාවාරම
	Chichewa	ny 		Malonda ogulitsa anthu
	Persian	fa 		قاچاق انسان
	Western Frisian	fy 		Minskehannel
	Greek	el 		εμπορία Ανθρώπων
	Kurdish	ku 		bazirganiya mirovan
	German	de 		Menschenhandel
	Yoruba	yo 		Human kakiri
	Thai	th 		การค้ามนุษย์
	Czech	cs 		Obchodování s lidmi
	Hebrew (modern)	he 		סחר בבני אדם
	Samoan	sm 		fefaatauaiga o tagata
	Basque	eu 		Gizaki trafikoa
	Pashto	ps 		د بشري قاچاق
	Swahili	sw 		Biashara ya binadamu
	Irish	ga 		Gáinneáil ar Dhaoine
	Indonesian	id 		Perdagangan manusia
	Igbo	ig 		Human ahia mgbere
	Telugu	te 		మానవ అక్రమ రవాణా
	Shona	sn 		Human kutengesa
	Somali	so 		Tahriibka
	Turkish	tr 		İnsan kaçakçılığı
	Spanish	es 		Trata de personas
	Dutch	nl 		Mensenhandel
	Albanian	sq 		Trafikimi njerëzor
	Vietnamese	vi 		Buôn người
	Bosnian	bs 		Trgovina ljudima
	Russian	ru 		Торговля людьми
	Sindhi	sd 		انساني سمگلنگ
	Arabic	ar 		الاتجار بالبشر
	Burmese	my 		လူ့ကူးသန်းရောင်း
	Romanian	ro 		Trafic de persoane
	Malayalam	ml 		മനുഷ്യകടത്ത്
	Scottish Gaelic	gd 		Malairt Dhaoine
	Armenian	hy 		Մարդու շահագործում
	Serbian	sr 		Трговина људима